,ID,Count
0,18288,480.9714214155217
1,18289,383.84035742337676
2,18290,324.84716808214256
3,18291,268.4096095164849
4,18292,225.92117946501065
5,18293,202.23672167530313
6,18294,217.45939194721564
7,18295,252.19545707077035
8,18296,290.4188043228713
9,18297,375.28455004427303
10,18298,532.6737978752619
11,18299,590.5387488807902
12,18300,596.7953432878874
13,18301,527.8189541276786
14,18302,564.3670383964585
15,18303,557.238623457225
16,18304,543.0159826192341
17,18305,555.6659275953316
18,18306,569.3415437857075
19,18307,604.1288924699763
20,18308,580.5470018016961
21,18309,541.8791970234084
22,18310,543.845066850775
23,18311,530.9899876318221
24,18312,365.5270551784019
25,18313,291.7097134267785
26,18314,246.87626633335137
27,18315,203.98503898506118
28,18316,171.69482375738426
29,18317,153.69518859425943
30,18318,165.2640627283358
31,18319,191.6626615384904
32,18320,220.71151337879854
33,18321,285.20749949740735
34,18322,404.8196546377095
35,18323,448.7956669272636
36,18324,453.55053265783295
37,18325,401.13008669377064
38,18326,428.9057777646915
39,18327,423.48834877658396
40,18328,412.6794736732136
41,18329,422.2931366257304
42,18330,432.68628576358645
43,18331,459.1238588830082
44,18332,441.2021723384169
45,18333,411.81554315112874
46,18334,413.3095583396956
47,18335,403.53999815011116
48,18336,359.99143928986973
49,18337,287.2920023391647
50,18338,243.137522065162
51,18339,200.89584816640223
52,18340,169.0946425097712
53,18341,151.36759747365664
54,18342,162.76127023053877
55,18343,188.7600833040749
56,18344,217.36901343814344
57,18345,280.8882592568298
58,18346,398.6889836505541
59,18347,441.99901428732596
60,18348,446.68187136651613
61,18349,395.05529127216624
62,18350,422.4103416418616
63,18351,417.0749552975384
64,18352,406.42977199183855
65,18353,415.8978436820042
66,18354,426.1335968605617
67,18355,452.1707940085176
68,18356,434.5205171212418
69,18357,405.57892500887044
70,18358,407.05031452828814
71,18359,397.4287065404444
72,18360,509.2809271494626
73,18361,406.4328240764159
74,18362,343.9673535193788
75,18363,284.2079356567135
76,18364,239.21867831985014
77,18365,214.1401765937488
78,18366,230.2588382950072
79,18367,267.0394341141607
80,18368,307.51257006476504
81,18369,397.37343027351926
82,18370,564.0264547355997
83,18371,625.2972799559913
84,18372,631.9221313682996
85,18373,558.8858596506393
86,18374,597.5851282831941
87,18375,590.0371418380232
88,18376,574.9773703215194
89,18377,588.3718786414865
90,18378,602.8524281765864
91,18379,639.6873260564968
92,18380,614.7174284519082
93,18381,573.7736746414134
94,18382,575.8552536370842
